order_id,order_date,customer_id,country,product_category,unit_price,quantity,total_amount,is_fraud
ORD-5678901234,2024-04-01,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-6789012345,2024-04-03,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-7890123456,2024-04-05,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-8901234567,2024-04-07,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-9012345678,2024-04-09,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-0123456789,2024-04-11,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-1234567890,2024-04-13,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-04-15,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-3456789012,2024-04-17,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,2024-04-19,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-5678901234,2024-04-21,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-04-23,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-7890123456,2024-04-25,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-8901234567,2024-04-27,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-9012345678,2024-04-29,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-0123456789,2024-04-30,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-1234567890,2024-05-01,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-2345678901,2024-05-03,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-3456789012,2024-05-05,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-4567890123,2024-05-07,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-5678901234,2024-05-09,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-6789012345,2024-05-11,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-7890123456,2024-05-13,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-8901234567,2024-05-15,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-9012345678,2024-05-17,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-0123456789,2024-05-19,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-1234567890,2024-05-21,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-05-23,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-3456789012,2024-05-25,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,2024-05-27,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-5678901234,2024-05-29,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-05-31,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-7890123456,2024-06-02,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-8901234567,2024-06-04,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-9012345678,2024-06-06,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-0123456789,2024-06-08,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-1234567890,2024-06-10,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-2345678901,2024-06-12,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-3456789012,2024-06-14,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-4567890123,2024-06-16,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-5678901234,2024-06-18,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-6789012345,2024-06-20,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-7890123456,2024-06-22,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-8901234567,2024-06-24,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-9012345678,2024-06-26,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-0123456789,2024-06-28,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-1234567890,2024-06-30,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-07-02,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-3456789012,2024-07-04,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,2024-07-06,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-5678901234,2024-07-08,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-07-10,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-7890123456,2024-07-12,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-8901234567,2024-07-14,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-9012345678,2024-07-16,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-0123456789,2024-07-18,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-1234567890,2024-07-20,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-2345678901,2024-07-22,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-3456789012,2024-07-24,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-4567890123,2024-07-26,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-5678901234,2024-07-28,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-6789012345,2024-07-30,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-7890123456,2024-07-31,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-8901234567,2024-08-01,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-9012345678,2024-08-03,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-0123456789,2024-08-05,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-1234567890,2024-08-07,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-08-09,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-3456789012,2024-08-11,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,2024-08-13,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-5678901234,2024-08-15,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-08-17,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-7890123456,2024-08-19,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-8901234567,2024-08-21,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-9012345678,2024-08-23,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-0123456789,2024-08-25,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-1234567890,2024-08-27,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-2345678901,2024-08-29,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-3456789012,2024-08-31,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-4567890123,2024-09-01,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-5678901234,2024-09-03,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-6789012345,2024-09-05,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-7890123456,2024-09-07,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-8901234567,2024-09-09,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-9012345678,2024-09-11,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-0123456789,2024-09-13,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-1234567890,2024-09-15,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-09-17,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-3456789012,2024-09-19,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,202,,,,,,,
